name,type,start_time,duration,"error","data","ack","address","read"
"I2C","start",129.592308125,0.000000063,,,,,
"I2C","stop",129.592346187,0.000000062,,,,,
"I2C","data",129.592361375,0.000774562,"missing ack/nak",0xFF,,,
"I2C","start",129.747099625,0.000000062,,,,,
"I2C","stop",129.747099687,0.000000062,,,,,
"I2C","start",129.747140938,0.000000062,,,,,
"I2C","stop",129.747141,0.000000062,,,,,
"I2C","start",129.747161188,0.000000062,,,,,
"I2C","stop",129.74716125,0.000000062,,,,,
"I2C","start",129.747219812,0.000000063,,,,,
"I2C","stop",129.747219875,0.000000062,,,,,
"I2C","start",129.747238687,0.000000063,,,,,
"I2C","stop",129.74723875,0.000000062,,,,,
"I2C","start",129.7472755,0.000000062,,,,,
"I2C","stop",129.747275562,0.000000062,,,,,
"I2C","start",129.747293625,0.000000062,,,,,
"I2C","stop",129.747293687,0.000000063,,,,,
"I2C","start",129.747311688,0.000000062,,,,,
"I2C","stop",129.74731175,0.000000062,,,,,
"I2C","start",129.7473475,0.000000063,,,,,
"I2C","stop",129.747347563,0.000000062,,,,,
"I2C","start",129.747365375,0.000000063,,,,,
"I2C","stop",129.747365438,0.000000062,,,,,
"I2C","start",129.747383375,0.000000062,,,,,
"I2C","stop",129.747383437,0.000000063,,,,,
"I2C","start",129.7474015,0.000000062,,,,,
"I2C","stop",129.747401562,0.000000063,,,,,
"I2C","start",129.74745775,0.000000062,,,,,
"I2C","stop",129.747457812,0.000000063,,,,,
"I2C","start",129.747517875,0.000000062,,,,,
"I2C","stop",129.747517937,0.000000063,,,,,
"I2C","start",129.74768475,0.000000063,,,,,
"I2C","stop",129.747684813,0.000000062,,,,,
"I2C","start",129.74774325,0.000000062,,,,,
"I2C","stop",129.747743313,0.000000062,,,,,
"I2C","start",129.747762188,0.000000062,,,,,
"I2C","stop",129.74776225,0.000000062,,,,,
"I2C","start",129.747910937,0.000000062,,,,,
"I2C","stop",129.747911,0.000000063,,,,,
"I2C","start",129.747930125,0.000000062,,,,,
"I2C","stop",129.747930188,0.000000062,,,,,
"I2C","start",129.747990625,0.000000062,,,,,
"I2C","stop",129.747990687,0.000000063,,,,,
"I2C","stop",129.749315812,0.000000063,,,,,
"I2C","stop",129.749360312,0.000000063,,,,,
